,kernel,C,acc
0,linear,0.001,99.71399999999998
1,linear,0.10621052631578948,99.71399999999998
2,linear,0.21142105263157895,99.76166666666667
3,linear,0.31663157894736843,99.74974999999999
4,linear,0.4218421052631579,99.71399999999998
5,linear,0.5270526315789473,99.73783333333331
6,linear,0.6322631578947369,99.75485714285713
7,linear,0.7374736842105264,99.767625
8,linear,0.8426842105263158,99.77755555555555
9,linear,0.9478947368421052,99.7855
10,linear,1.0531052631578945,99.79199999999999
11,linear,1.1583157894736842,99.78549999999998
12,linear,1.2635263157894736,99.79099999999998
13,linear,1.368736842105263,99.79571428571427
14,linear,1.4739473684210527,99.79979999999999
15,linear,1.579157894736842,99.80337499999999
16,linear,1.6843684210526315,99.79811764705883
17,linear,1.789578947368421,99.79344444444445
18,linear,1.8947894736842104,99.78926315789474
19,linear,2.0,99.7855
20,poly,0.001,99.78209523809522
21,poly,0.10621052631578948,99.75949999999999
22,poly,0.21142105263157895,99.75130434782606
23,poly,0.31663157894736843,99.73783333333333
24,poly,0.4218421052631579,99.72543999999999
25,poly,0.5270526315789473,99.714
26,poly,0.6322631578947369,99.7087037037037
27,poly,0.7374736842105264,99.7037857142857
28,poly,0.8426842105263158,99.69920689655171
29,poly,0.9478947368421052,99.69493333333334
30,poly,1.0531052631578945,99.69093548387096
31,poly,1.1583157894736842,99.6871875
32,poly,1.2635263157894736,99.68366666666667
33,poly,1.368736842105263,99.68035294117647
34,poly,1.4739473684210527,99.67722857142857
35,poly,1.579157894736842,99.67427777777777
36,poly,1.6843684210526315,99.67148648648647
37,poly,1.789578947368421,99.66884210526315
38,poly,1.8947894736842104,99.66633333333333
39,poly,2.0,99.66394999999999
40,sigmoid,0.001,97.23312195121952
41,sigmoid,0.10621052631578948,94.91804761904763
42,sigmoid,0.21142105263157895,92.7106511627907
43,sigmoid,0.31663157894736843,90.6035909090909
44,sigmoid,0.4218421052631579,88.59017777777777
45,sigmoid,0.5270526315789473,86.66430434782608
46,sigmoid,0.6322631578947369,84.8203829787234
47,sigmoid,0.7374736842105264,83.05329166666667
48,sigmoid,0.8426842105263158,81.35832653061225
49,sigmoid,0.9478947368421052,79.73116
50,sigmoid,1.0531052631578945,78.16780392156862
51,sigmoid,1.1583157894736842,76.66457692307691
52,sigmoid,1.2635263157894736,75.21807547169811
53,sigmoid,1.368736842105263,73.82514814814814
54,sigmoid,1.4739473684210527,72.48287272727273
55,sigmoid,1.579157894736842,71.18853571428572
56,sigmoid,1.6843684210526315,69.93961403508771
57,sigmoid,1.789578947368421,68.73375862068964
58,sigmoid,1.8947894736842104,67.56877966101693
59,sigmoid,2.0,66.44263333333332
60,rbf,0.001,66.62975409836065
61,rbf,0.10621052631578948,66.81083870967743
62,rbf,0.21142105263157895,66.9861746031746
63,rbf,0.31663157894736843,67.15603125
64,rbf,0.4218421052631579,67.32066153846154
65,rbf,0.5270526315789473,67.48030303030303
66,rbf,0.6322631578947369,67.63517910447761
67,rbf,0.7374736842105264,67.7855
68,rbf,0.8426842105263158,67.93146376811595
69,rbf,0.9478947368421052,68.07734285714285
70,rbf,1.0531052631578945,68.22314084507042
71,rbf,1.1583157894736842,68.36488888888888
72,rbf,1.2635263157894736,68.50275342465753
73,rbf,1.368736842105263,68.63689189189189
74,rbf,1.4739473684210527,68.76745333333334
75,rbf,1.579157894736842,68.89457894736842
76,rbf,1.6843684210526315,69.0184025974026
77,rbf,1.789578947368421,69.13905128205128
78,rbf,1.8947894736842104,69.25664556962025
79,rbf,2.0,69.37129999999999
